INDEX	skilldesc	SkillPage	SkillRow	SkillColumn	ListRow	IconCel	HireableIconCel	str name	str short	str long	str alt	descdam	ddam calc1	ddam calc2	p1dmelem	p1dmmin	p1dmmax	p2dmelem	p2dmmin	p2dmmax	p3dmelem	p3dmmin	p3dmmax	descatt	descmissile1	descmissile2	descmissile3	descline1	desctexta1	desctextb1	desccalca1	desccalcb1	descline2	desctexta2	desctextb2	desccalca2	desccalcb2	descline3	desctexta3	desctextb3	desccalca3	desccalcb3	descline4	desctexta4	desctextb4	desccalca4	desccalcb4	descline5	desctexta5	desctextb5	desccalca5	desccalcb5	descline6	desctexta6	desctextb6	desccalca6	desccalcb6	dsc2line1	dsc2texta1	dsc2textb1	dsc2calca1	dsc2calcb1	dsc2line2	dsc2texta2	dsc2textb2	dsc2calca2	dsc2calcb2	dsc2line3	dsc2texta3	dsc2textb3	dsc2calca3	dsc2calcb3	dsc2line4	dsc2texta4	dsc2textb4	dsc2calca4	dsc2calcb4	dsc2line5	dsc2texta5	dsc2textb5	dsc2calca5	dsc2calcb5	dsc3line1	dsc3texta1	dsc3textb1	dsc3calca1	dsc3calcb1	dsc3line2	dsc3texta2	dsc3textb2	dsc3calca2	dsc3calcb2	dsc3line3	dsc3texta3	dsc3textb3	dsc3calca3	dsc3calcb3	dsc3line4	dsc3texta4	dsc3textb4	dsc3calca4	dsc3calcb4	dsc3line5	dsc3texta5	dsc3textb5	dsc3calca5	dsc3calcb5	dsc3line6	dsc3texta6	dsc3textb6	dsc3calca6	dsc3calcb6	dsc3line7	dsc3texta7	dsc3textb7	dsc3calca7	dsc3calcb7	item proc text	item proc descline count	___eol	str name__STR	
149	battle orders	3	5	2	3	46		4969	skillld149	skillld149	skillan149																	36	StrSkillDurationSingular	StrSkill20	len	25	74	StrSkill102		ln34		74	StrSkill101		ln34		74	StrSkill100		ln34		36	StrSkillRadiusSingular	StrSkill18	19*2	3						36	StrSkill3		usmc	256																					40	Sksyn	skillname149	2		76	Secplev2	BarbWarCrySynergies	par8/25																													0	skillname149	
150	madawcs fury	2	6	3	3	6		4973	skillld150	skillld150	skillan150																	36	StrSkill3		usmc	256	36	StrSkillColdLengthSingular	StrSkill13	edln	25	75	StrSkillColdDamageToYourAttack		enma	exma	74	ModStrPlayerThrowDmgPercent		lvl		74	StrSkill22		toht																																40	Sksyn	skillname150	2		76	Colddplev	skillname134	par8		76	Colddplev	skillname136	par8		76	Colddplev	skillname141	par8																			0	skillname150	
151	whirlwind	1	6	1	1	50		4977	skillld151	skillld151	skillan151	1	clc1											1				36	StrSkill3		usmc	256	74	StrSkillDamagePercent		clc1		74	StrSkill22		toht		75	StrSkillAddedFlatPhys		pnma	pxma																																				40	Sksyn	skillname151	2		76	Damplev	skillname143	par8		76	Damplev	skillname144	par8																								0	skillname151	
152	berserk	1	6	2	1	52		4981	skillld152	skillld152	skillan152	7	clc1											2				36	StrSkillDurationSingular	StrSkill20	par4-min(((110*lvl)/(lvl+6)*(par4-par3)/100),(par4-par3))	25	74	StrSkillMagicDamagePercent		clc1		74	StrSkill22		toht		75	StrSkillAddedFlatMag		enma	exma											36	StrSkill3		usmc	256																					40	Sksyn	skillname152	2		76	Magdplev	skillname126	par8		76	Magdplev	skillname144	1																								0	skillname152	
153	natural resistance	2	6	1	2	54		4985	skillld153	skillld153	skillan153																	74	StrSkill54		dm12																																																																																									0	skillname153	
154	war cry	3	6	1	3	56		4989	skillld154	skillld154	skillan154	5																36	StrSkill3		usmc	256	36	StrSkillStunLengthSingular	StrSkill48	min(250,ln12)	25	75	StrSkill4		pnma	pxma	75	StrSkillBearWave		pnma/2	pxma/2																																				40	Sksyn	skillname154	2		76	Damplev	BarbWarCrySynergies	par8																													0	skillname154	
155	battle command	3	6	2	3	58		4993	skillld155	skillld155	skillan155																	36	StrSkillDurationSingular	StrSkill20	len	25											36	StrSkillRadiusSingular	StrSkill18	19*2	3											36	StrSkill3		usmc	256																					40	Sksyn	skillname155	2		76	Secplev2	BarbWarCrySynergies	par8/25																													0	skillname155	
156	scroll of identify	0	0	0	4	14		4997	skillld217	skillld217	skillan217																	56	scrollbooktext																																																																																											0	skillname217	
157	book of identify	0	0	0	4	14		5001	skillld218	skillld218	skillan218																	56	scrollbooktext																																																																																											0	skillname218	
158	scroll of townportal	0	0	0	4	18		5005	skillld219	skillld219	skillan219																	56	scrollbooktext																																																																																											0	skillname219	
159	book of townportal	0	0	0	4	18		5009	skillld220	skillld220	skillan220																	56	scrollbooktext																																																																																											0	skillname220	
160	raven	1	1	2	1	0		22038	Skillld222	Skillld222	Skillan222																	74	ESkillHawk		pets		74	StrSkill11		clc3		75	StrSkill4		pnma	pxma																36	Eskillincaseraven		usmc	256																					40	Sksyn	Skillname222	2		74	SkillRavenSyn		par8																													0	Skillname222	
161	plague poppy	1	1	3	1	2		22042	Skillld223	Skillld223	Skillan223																	36	StrSkillPoisonLengthSingular	StrSkill63	edln	25	75	StrSkill8		enms*edln/256	exms*edln/256	13	StrSkill42		(lvl-1)*par3		74															36	StrSkill3		usmc	256																					40	Sksyn	Skillname223	2		76	Poisdplev	Skillname239	par8		76	Poisdplev	Skillname243	par8																								0	Skillname223	
162	wearwolf	2	1	1	2	20		10997	Skillld224	Skillld224	Skillan224																	74	StrSkill106		dm34		74	StrSkill22		toht																										25	74	StrSkill102		par1		74	StrSkill100		par2+skill('shape shifting'.ln34)		36	StrSkill3		usmc	256						40	Sksyn	Skillname224	2		18	Skillname225																															0	Skillname224	
163	shape shifting	2	1	2	2	52		22050	Skillld225	Skillld225	Skillan225																	36	StrSkillDurationPlus		ln12	25	74	StrSkill100		ln34																																																																																				0	Skillname225	
164	firestorm	3	1	1	3	32		22054	Skillld226	Skillld226	Skillan226	9																75	StrSkillFireDamageAveragePerSecond		enms*25*3/256	exms*25*3/256																										36	StrSkill3		usmc	256																					40	Sksyn	Skillname226	2		76	Firedplev	StrSkillEle	par8		75	SynergyCap	StrSkillEle	min(clc5,25)	25						40	SynergyUncapped		10		76	Firedplev	StrSkillEle	par5									0	Skillname226	
165	oak sage	1	2	1	1	16		22058	Skillld227	Skillld227	Skillan227																	36	StrSkill3		usmc	256	36	StrSkillRadiusSingular	StrSkill18	ln78*2	3	74	StrSkill100		dm12		13	StrSkill42		(lvl-1)*par3																																																																										0	Skillname227	
166	summon spirit wolf	1	2	2	1	6		22062	Skillld228	Skillld228	Skillan228																	74	StrSkill21		ln56		74	StrSkill22		ln12		74	ESkillWolves		pets		75	StrSkill6		enma	exma	75	StrSkillSpiritTwister		enma*2	exma*2						13	StrSkill42		clc1		36	StrSkill3		usmc	256																40	Sksyn	Skillname228	2		74	SkillSpiritSyn		pa12																													0	Skillname228	
167	wearbear	2	2	3	2	22		22066	Skillld229	Skillld229	Skillan229																	74	StrSkill21		ln34		74	StrSkillDamagePercent		ln12																										25	74	StrSkill100		par5 + skill('Shape Shifting'.ln34)		36	StrSkill3		usmc	256											40	Sksyn	Skillname229	2		18	Skillname225																															0	Skillname229	
168	molten boulder	3	2	1	3	34		22070	Skillld230	Skillld230	Skillan230	5													moltenboulderfirepath			36	StrSkill3		usmc	256	75	StrSkillFireDamageAveragePerSecond		m1eo*25*3*(mael+100)/100/256	m1ey*25*3*(mael+100)/100/256	75	StrSkill5		enma	exma	75	StrSkill4		pnma	pxma																																				40	Sksyn	Skillname230	2		76	Damplev	StrSkillEle	par7		76	Firedplev	StrSkillEle	par8		75	SynergyCap		min(clc5,25)	25	40	SynergyUncapped		10		76	Damplev	StrSkillEle	par5		76	Firedplev	StrSkillFireEle	par5				0	Skillname230	
169	arctic blast	3	2	3	3	36		22074	Skillld231	Skillld231	Skillan231	8																74	StrSkillManaCostPerSecond		mps		36	StrSkillRangeSingular	StrSkill56	ln12/4*2	3	36	StrSkillColdLengthSingular	StrSkill13	edln	25	75	StrSkillColdDamageAveragePerSecond		enms*12/256	exms*12/256											74	StrSkill115		par3																						40	Sksyn	Skillname231	2		76	Colddplev	StrSkillEle	par8		75	SynergyCap		min(clc5,25)	25	40	SynergyUncapped		10		76	Damplev	StrSkillEle	par5														0	Skillname231	
170	cycle of life	1	3	3	1	8		22078	Skillld232	Skillld232	Skillan232																	74	ItemStatsrejuv1		dm56	dm56	13	StrSkill42		(lvl-1)*par3																						36	StrSkill3		usmc	256																																																										0	Skillname232	
171	feral rage	2	3	1	2	54		22082	Skillld233	Skillld233	Skillan233	7	ln56											2				74	StrSkillDamagePercent		ln56		75	StrSkillLifeStealRange		4	par2 * lvl + 8	75	StrSkillRunWalkRange		19	((110*(par8+lvl/par7)) * (par4-par3))/(100 * ((par8+lvl/par7)+6)) + par3	74	StrSkill22		toht		75	StrSkillAddedFlatPhys		pnma	pxma						36	StrSkillDurationSingular	StrSkill20	par1+skill('Shape Shifting'.ln12)	25	36	StrSkill3		usmc	256																40	Sksyn	Skillname233	2		76	Secplev2	Skillname225	skill('Shape Shifting'.par2)/25																													0	Skillname233	
172	maul	2	3	3	2	56		22086	Skillld234	Skillld234	Skillan234	1												2				36	StrSkillStunLengthSingular	StrSkill48	dm56	25	75	StrSkillDamagePercentRange		par3	par3 * (lvl/par7+par8)	74	StrSkill22		toht		75	StrSkillAddedFlatPhys		pnma	pxma											36	StrSkillDurationSingular	StrSkill20	par4+skill('Shape Shifting'.ln12)	25	36	StrSkill3		usmc	256																40	Sksyn	Skillname234	2		76	Secplev2	Skillname225	skill('Shape Shifting'.par2)/25																													0	Skillname234	
173	eruption	3	3	1	3	38		22090	Skillld235	Skillld235	Skillan235	5													erruption center			75	StrSkill5		enma	exma																										36	StrSkill3		usmc	256	36	StrSkillDurationSingular	StrSkill20	miss('eruption center'.rang)	25																40	Sksyn	Skillname235	2		76	Firedplev	StrSkillEle	par8		75	SynergyCap		min(clc5,25)	25						40	SynergyUncapped		10		76	Firedplev	StrSkillEle	par5									0	Skillname235	
174	cyclone armor	3	3	3	3	40		22094	Skillld236	Skillld236	Skillan236																	36	StrSkill3		usmc	256	74	StrSkill40		(ln12*(100+(skill('Twister'.blvl)+skill('Tornado'.blvl)+skill('Hurricane'.blvl))*par8)/100)																																															40	Sksyn	Skillname236	2		76	Damplev	Skillname241	par8		76	Damplev	Skillname246	par8		76	Damplev	Skillname251	par8																			0	Skillname236	
175	heart of wolverine	1	4	1	1	10		22098	Skillld237	Skillld237	Skillan237																	36	StrSkill3		usmc	256	36	StrSkillRadiusSingular	StrSkill18	ln78*2	3	74	StrSkillDamagePercent		ln56		74	StrSkill22		ln34		13	StrSkill42		(lvl-1)*par1							74	StrSkill106		min(skill('Wolverine Aura'.par9)+blvl-1,30)		74	StrSkillWolvFCR		min(skill('Wolverine Aura'.par9)+blvl-1,30)																	40	Sksyn	Skillname237	2		76	StrSkillWolvFCRSyn	Skillname237	pa10		76	StrSkillWolvIASSyn	Skillname237	pa10																								0	Skillname237	
176	summon fenris	1	4	2	1	12		22102	Skillld238	Skillld238	Skillan238																	74	StrSkill100		ln12		74	ESkillWolves		pets		75	StrSkill4		enma*(100+pst3)/100	exma*(100+pst3)/100	13	StrSkill42		ln12		75	StrSkillDireFire		enma*85/100	exma*85/100						74	StrSkill21		pst1		74	StrSkill22		pst2		36	StrSkill3		usmc	256											40	Sksyn	Skillname238	2		74	SkillDireSyn		pa12																													0	Skillname238	
177	rabies	2	4	1	2	24		22106	Skillld239	Skillld239	Skillan239	23												2				36	StrSkillPoisonLengthSingular	StrSkill63	edln	25	75	StrSkill8		enms*edln/256	exms*edln/256	74	StrSkill22		toht		74	SkillRabiesPen		-par1												36	StrSkill3		usmc	256																					40	Sksyn	Skillname239	2		76	Poisdplev	Skillname223	par8		76	Poisdplev	Skillname243	par8																								0	Skillname239	
178	fire claws	2	4	2	2	26		22110	Skillld240	Skillld240	Skillan240	5												1				75	StrSkill5		enma	exma	74	StrSkill22		toht																						36	StrSkill3		usmc	256																					40	Sksyn	Skillname240	2		76	Firedplev	Skillname226	par8		76	Firedplev	Skillname230	par8																								0	Skillname240	
179	twister	3	4	2	3	42		22114	Skillld241	Skillld241	Skillan241	5																75	StrSkill4		pnma	pxma																										36	StrSkill3		usmc	256	36	StrSkillStunLengthSingular	StrSkill48	par2	25																40	Sksyn	Skillname241	2		76	Damplev	StrSkillEle	par8		75	SynergyCap		min(clc5,25)	25	40	SynergyUncapped		10		76	Damplev	StrSkillEle	par5														0	Skillname241	
180	vines	1	5	3	1	14		22118	Skillld242	Skillld242	Skillan242																	36	StrSkill3		usmc	256	75	StrSkill121		pnma/5	pxma/5	13	StrSkill42		(lvl-1)*par3																																										40	Sksyn	Skillname242	2		74	SkillRavenSyn		par8					par8																								0	Skillname242	
181	hunger	2	6	2	2	58		22122	Skillld243	Skillld243	Skillan243	5												1				36	StrSkill3		usmc	256	36	StrSkillPoisonLengthSingular	StrSkill63	edln	25	75	StrSkill8		enms*edln/256	exms*edln/256	74	StrSkill22		toht																																					40	Sksyn	Skillname243	2		76	Poisdplev	Skillname239	par8		76	Poisdplev	Skillname223	par8																								0	Skillname243	
182	shock wave	2	5	3	2	28		22126	Skillld244	Skillld244	Skillan244	5																36	StrSkillStunLengthSingular	StrSkill48	ln12	25	75	StrSkill4		pnma	pxma																					36	StrSkill3		usmc	256																					40	Sksyn	Skillname244	2		76	Damplev	Skillname234	par8																													0	Skillname244	
183	volcano	3	5	1	3	44		22130	Skillld245	Skillld245	Skillan245	5																75	StrSkill5		enma	exma	75	StrSkill4		pnma	pxma																					36	StrSkill3		usmc	256																					40	Sksyn	Skillname245	2		76	Damplev	StrSkillEle	par7		76	Firedplev	StrSkillEle	par8		75	SynergyCap		min(clc5,25)	25	40	SynergyUncapped		10		76	Damplev	StrSkillEle	par5		76	Firedplev	StrSkillFireEle	par5				0	Skillname245	
184	tornado	3	5	2	3	46		22134	Skillld246	Skillld246	Skillan246	5																75	StrSkill4		pnma	pxma																										36	StrSkill3		usmc	256																					40	Sksyn	Skillname246	2		76	Damplev	StrSkillEle	par8		75	SynergyCap		min(clc5,25)	25	40	SynergyUncapped		10		76	Damplev	StrSkillEle	par5														0	Skillname246	
185	spirit of barbs	1	6	1	1	4		22138	Skillld247	Skillld247	Skillan247																	36	StrSkill3		usmc	256	36	StrSkillRadiusSingular	StrSkill18	ln78*2	3	13	StrSkill42		(lvl-1)*par1		74	PhysDamageResist		ln34 * (0-1)		74	StrSkill54		0-ln34																																																																					0	Skillname247	
186	summon grizzly	1	6	2	1	18		22142	Skillld248	Skillld248	Skillan248																	74	StrSkillDamagePercent		ln12		75	StrSkill4		pnma*(100+ln12)/100	pxma*(100+ln12)/100	74	ESkillGrizzly		pets							75	StrSkillBearWave		((pnma*(100+ln12)*75)/100)/100	((pxma*(100+ln12)*75)/100)/100						74	StrSkill21		pst3		74	StrSkill22		pst2		13	StrSkill42		ln34		36	StrSkill3		usmc	256						40	Sksyn	Skillname248	2		74	SkillGrizzlySyn		pa12																													0	Skillname248	
187	fury	2	6	1	2	30		22146	Skillld249	Skillld249	Skillan249	7	ln34											2				74	StrSkillDamagePercent		ln34		74	StrSkill22		toht		74	StrSkill11		min((par5+lvl-1),par6)		75	StrSkillAddedFlatPhys		pnma	pxma											36	StrSkill3		usmc	256																																																										0	Skillname249	
188	armageddon	3	6	1	3	50		22150	Skillld250	Skillld250	Skillan250	5													armageddonfire			75	StrSkillFireDamageAveragePerSecond		m1eo*25*3*(mael+100)/100/256	m1ey*25*3*(mael+100)/100/256	75	StrSkill5		enma	exma	75	StrSkill4		pnma	pxma																36	StrSkill3		usmc	256	36	StrSkillRadiusSingular	StrSkill18	par3*2	3	36	StrSkillDurationSingular	StrSkill20	ln12+(clc5*par7)	25											40	Sksyn	Skillname250	2		76	Secplev2	StrSkillEle	2		76	Firedplev	StrSkillEle	par8		76	Damplev	StrSkillEle	par6		75	SynergyCap		min(clc5,25)	25	40	SynergyUncapped		10		76	Damplev	StrSkillEle	par5				0	Skillname250	
189	hurricane	3	6	2	3	48		22154	Skillld251	Skillld251	Skillan251	5																75	StrSkill6		enma	exma																										36	StrSkill3		usmc	256	36	StrSkillRadiusSingular	StrSkill18	par3*2	3	36	StrSkillDurationSingular	StrSkill20	ln12+(clc5*par7)	25											40	Sksyn	Skillname251	2		76	Secplev2	StrSkillEle	2		76	Damplev	StrSkillEle	par8		75	SynergyCap		min(clc5,25)	25	40	SynergyUncapped		10		76	Damplev	StrSkillEle	par5									0	Skillname251	
190	fire trauma	1	1	2	1	0		22158	Skillld252	Skillld252	Skillan252	5																36	StrSkill3		usmc	256	75	StrSkill5		enma	exma																					36	StrSkillRadiusSingular	StrSkill18	par1*2	3																					40	Sksyn	Skillname252	2		76	Firedplev	Skillname257	par8		76	Firedplev	Skillname262	par8		76	Firedplev	Skillname263	par8		76	Firedplev	Skillname272	par8		76	Firedplev	Skillname273	par8									0	Skillname252	
191	claw mastery	2	1	2	2	20		22162	Skillld253	Skillld253	Skillan253																	74	eskillincasemasteryX		macr		74	StrSkillDamagePercent		madm		74	StrSkill22		math																																																																															0	Skillname253	
192	psychic hammer	2	1	3	2	22		22166	Skillld254	Skillld254	Skillan254	5																36	StrSkill3		usmc	256	75	StrSkill39		enma	exma	75	StrSkill4		pnma	pxma																																																																														0	Skillname254	
193	tiger strike	3	1	2	3	40		22170	Skillld255	Skillld255	Skillan255	5												1				74	StrSkillAssassinTigerStrikeCharge3		3*ln12		74	StrSkillAssassinTigerStrikeCharge2		2*ln12		74	StrSkillAssassinTigerStrikeCharge1		ln12		74	StrSkill22		toht		74	StrSkillChargeDuration		par3/25							36	StrSkill3		usmc	256																																																										0	Skillname255	
194	dragon talon	3	1	3	3	42		22174	Skillld256	Skillld256	Skillan256	15												5				74	Eskillkickdamage		ln12		74	StrSkill22		toht		36	EskillKickSing	EskillKickPlur	lvl/6+1																	36	StrSkill3		usmc	256																																																										0	Skillname256	
195	shock field	1	2	1	1	2		22178	Skillld257	Skillld257	Skillan257	5													shock field on ground			36	StrSkillDurationSingular	StrSkill20	miss('shock field on ground'.rang)	25	75	StrSkillLightningDamageAveragePerSecond		edmn	edmx	74	ESkillSpikes		par1+lvl/par2+skill('Fire Trauma'.blvl)/3																	36	StrSkill3		usmc	256	36	StrSkillCastingDelaySingular	StrSkillCastingDelayPlural	15	25																40	Sksyn	Skillname257	2		77	Missplev3	Skillname252	1	3	76	Ltngdplev	Skillname262	par8		76	Ltngdplev	Skillname272	par8																			0	Skillname257	
196	blade sentinel	1	2	3	1	4		22182	Skillld258	Skillld258	Skillan258	5												1				36	StrSkillDurationSingular	StrSkill20	ln12	25	75	StrSkill4		pnma	pxma																					36	StrSkill3		usmc	256	36	StrSkillCastingDelaySingular	StrSkillCastingDelayPlural	25	25	74	WeapDamsk		128*100/128												40	Sksyn	Skillname258	2		76	Damplev	Skillname267	par8		76	Damplev	Skillname278	par8																								0	Skillname258	
197	quickness	2	2	1	2	36		22186	Skillld259	Skillld259	Skillan259																	36	StrSkillDurationSingular	StrSkill20	ln56	25	74	StrSkill89		dm12		74	StrSkill106		dm34																	36	StrSkill3		usmc	256																																																										0	Skillname259	
198	fists of fire	3	2	1	3	44		22190	Skillld260	Skillld260	Skillan260	20			fire	enma	exma	fire	enma	exma	fire	enma+m1eo*50/256	exma+m1ey*50/256	2	fistsoffirefirewall			75	Eskillfistsoffire3		m1eo*50/256	m1ey*50/256	74	Eskillfistsoffire2		par1		75	Eskillfistsoffire1		enma	exma	74	StrSkill22		toht		74	StrSkillChargeDuration		par3/25							36	StrSkill3		usmc	256																					40	Sksyn	Skillname260	2		76	Firedplev	Skillname281	par8																													0	Skillname260	
199	dragon claw	3	2	3	3	46		22194	Skillld261	Skillld261	Skillan261	19	ln12											2				74	StrSkillDamagePercent		ln12 + (skill('Claw Mastery'.blvl) * par7)		74	StrSkill22		toht																						36	StrSkill3		usmc	256																					40	Sksyn	Skillname261	2		76	Damplev	Skillname253	par7																													0	Skillname261	
200	charged bolt sentry	1	3	1	1	6		22198	Skillld262	Skillld262	Skillan262																	75	StrSkill7		enma	exma																										36	StrSkill3		usmc	256	74	StrSkill72		ln34 + skill('Shock Field'.blvl)/3		74	ESkillShoots		par1 + skill('Lightning Sentry'.blvl)/4												40	Sksyn	Skillname262	2		77	Boltplev3	Skillname257	1		77	Shotplev3	Skillname272	1	par7	76	Ltngdplev	Skillname252	par8		76	Ltngdplev	Skillname272	par8		76	Ltngdplev	Skillname277	par8									0	Skillname262	
201	wake of fire sentry	1	3	2	1	8		22202	Skillld263	Skillld263	Skillan263																	75	StrSkill5		enma	exma																										36	StrSkill3		usmc	256	74	ESkillShoots		par1																	40	Sksyn	Skillname263	2		76	Firedplev	Skillname252	par8		76	Firedplev	Skillname273	par8																								0	Skillname263	
202	weapon block	2	3	2	2	26		22206	Skillld264	Skillld264	Skillan264																	74	StrSkill24		dm12																																																																																									0	Skillname264	
203	cloak of shadows	2	3	3	2	24		22210	Skillld265	Skillld265	Skillan265																	36	StrSkillDurationSingular	StrSkill20	ln34	25	74	StrSkill25		-min(ln56,95)		74	StrSkill21		ln78																	36	StrSkill3		usmc	256	36	StrSkillRangeSingular	StrSkill56	dm12*2	3																																																					0	Skillname265	
204	cobra strike	3	3	2	3	50		22214	Skillld266	Skillld266	Skillan266	5												1				74	StrSkillAssassinCobraStrikeCharge3		2*ln12		74	Eskillpudmana		ln12		74	StrSkillAssassinCobraStrikeCharge1		ln12		74	StrSkill22		toht		74	StrSkillChargeDuration		par3/25							36	StrSkill3		usmc	256																																																										0	Skillname266	
205	blade fury	1	4	3	1	10		22218	Skillld267	Skillld267	Skillan267	5												1				36	StrSkill3		usmc	256	75	StrSkillAddedFlatPhys		pnma	pxma	74	StrSkill22		toht																	74	StrSkillRicochet		1		74	StrSkill120		clc1		74	WeapDamsk		96*100/128												40	Sksyn	Skillname267	2		76	Damplev	Skillname258	par8		76	Damplev	Skillname278	par8																								0	Skillname267	
206	fade	2	4	1	2	30		22222	Skillld268	Skillld268	Skillan268																	36	StrSkillDurationSingular	StrSkill20	ln56	25	74	StrSkill54		dm12		74	ModStr2uPercent		ln78		74	StrSkill85		dm34												36	StrSkill3		usmc	256																																																										0	Skillname268	
207	shadow warrior	2	4	2	2	38		22226	Skillld269	Skillld269	Skillan269																	36	StrSkill3		usmc	256	74	StrSkill21		(lvl-1)*par3		74	StrSkillAttackRating		lvl*par2		13	StrSkill42		(lvl-1)*par1												36	StrSkillCastingDelaySingular	StrSkillCastingDelayPlural	15	25																																																										0	Skillname269	
208	claws of thunder	3	4	1	3	58		22230	Skillld270	Skillld270	Skillan270	20			ltng	enma	exma	ltng	enma+m2en	exma+m2ex	ltng	enma+m2en+m3en	exma+m2ex+m3ex	2		clawsofthundernova	clawsofthunderbolt	75	Eskillthunder3		m3en	m3ex	75	Eskillthunder2		m2en	m2ex	75	Eskillthunder1		enma	exma	74	StrSkill22		toht		74	StrSkillChargeDuration		par3/25							36	StrSkill3		usmc	256																					40	Sksyn	Skillname270	2		76	Ltngdplev	Skillname281	par8																													0	Skillname270	
209	dragon tail	3	4	3	3	48		22234	Skillld271	Skillld271	Skillan271	16												5				74	StrSkillFireDamagePercent		ln12		74	StrSkill22		toht																						36	StrSkill3		usmc	256	36	StrSkillRadiusSingular	StrSkill18	par3*2	3																																																					0	Skillname271	
210	lightning sentry	1	5	1	1	12		22238	Skillld272	Skillld272	Skillan272	5																75	StrSkill7		enma	exma																										36	StrSkill3		usmc	256	74	ESkillShoots		par1																	40	Sksyn	Skillname272	2		76	Ltngdplev	Skillname257	par8		76	Ltngdplev	Skillname262	par8																								0	Skillname272	
211	inferno sentry	1	5	2	1	14		22242	Skillld273	Skillld273	Skillan273	8	1	3														75	StrSkill5		edns*25/768	edxs*25/768																										36	StrSkill3		usmc	256	74	ESkillShoots		par1																	40	Sksyn	Skillname273	2		77	Rangplev	Skillname263	0	5	76	Firedplev	Skillname252	par8		76	Firedplev	Skillname263	par8																			0	Skillname273	
212	mind blast	2	5	3	2	34		22246	Skillld274	Skillld274	Skillan274	5																74	StrSkill99		dm56		36	StrSkillStunLengthSingular	StrSkill48	min(250,edln)	25	75	StrSkill4		pnma	pxma																36	StrSkill3		usmc	256	75	StrSkill20		par3/25																																																						0	Skillname274	
213	blades of ice	3	5	1	3	52		22250	Skillld275	Skillld275	Skillan275	20			cold	enma	exma	cold	enma	exma	cold	enma	exma	2				36	Eskillbladesofice3		edln	25	36	Eskillbladesofice2		par1*2	3	75	Eskillbladesofice1		enma	exma	74	StrSkill22		toht		74	StrSkillChargeDuration		par3/25							36	StrSkill3		usmc	256																					40	Sksyn	Skillname275	2		76	Colddplev	Skillname281	par8																													0	Skillname275	
214	dragon flight	3	5	3	3	54		22254	Skillld276	Skillld276	Skillan276	15												5				74	Eskillkickdamage		ln12		74	StrSkill22		toht																						36	StrSkill3		usmc	256																																																										0	Skillname276	
215	death sentry	1	6	1	1	16		22258	Skillld277	Skillld277	Skillan277	5																36	StrSkillRadiusSingular	StrSkill18	skill('mon death sentry'.par3) + skill('mon death sentry'.par4) * (lvl - 1)	3	75	StrSkill7		enma	exma																					36	StrSkill3		usmc	256	74	ESkillShoots		par1 + skill('Fire Trauma'.blvl)/3		75	Corexpdam		skill('mon death sentry'.par1)	skill('mon death sentry'.par2)											40	Sksyn	Skillname277	2		77	Shotplev3	Skillname252	1	3	76	Ltngdplev	Skillname272	par8																								0	Skillname277	
216	blade shield	1	6	3	1	18		22262	Skillld278	Skillld278	Skillan278	5												1				36	StrSkill3		usmc	256	36	StrSkillDurationSingular	StrSkill20	ln12	25	75	StrSkill4		pnma	pxma																36	StrSkillRadiusSingular	StrSkill18	par4*2	3	74	WeapDamsk		96*100/128																	40	Sksyn	Skillname278	2		76	Damplev	Skillname258	par8		76	Damplev	Skillname267	par8																								0	Skillname278	
217	venom	2	6	1	2	28		22266	Skillld279	Skillld279	Skillan279																	36	StrSkillDurationSingular	StrSkill20	ln12	25	36	StrSkillPoisonLengthSingular	StrSkill63	edln	25	75	StrSkill8		enms*edln/256	exms*edln/256																36	StrSkill3		usmc	256																																																										0	Skillname279	
218	shadow master	2	6	2	2	32		22270	Skillld280	Skillld280	Skillan280																	36	StrSkill3		usmc	256	74	StrSkill54		((110*(lvl-1))/(lvl+5)*(par4-par3))/100+par3		74	StrSkillAttackRating		lvl*par2		13	StrSkill42		(lvl-1)*par1												36	StrSkillCastingDelaySingular	StrSkillCastingDelayPlural	15	25																																																										0	Skillname280	
219	royal strike	3	6	2	3	56		22274	Skillld281	Skillld281	Skillan281	18			fire	m1en	m1ex	ltng	m2en	m2ex	cold	m3en	m3ex	1	royalstrikemeteor	royalstrikechainlightning	royalstrikechaosice	75	Eskillphoenix3		m3en	m3ex	75	Eskillphoenix2		m2en	m2ex	75	StrSkillFireDamageAveragePerSecond		miss('royalstrikemeteorfire'.edns)*3*25*(mael+100)/100/256	miss('royalstrikemeteorfire'.edxs)*3*25*(mael+100)/100/256	75	Eskillphoenix1		m1en	m1ex	74	StrSkill22		toht		74	StrSkillChargeDuration		par9/25		36	StrSkill3		usmc	256																					40	Sksyn	Skillname281	2		76	Firedplev	Skillname260	10		76	AFDImm	Skillname260	6		76	Ltngdplev	Skillname270	13		76	Colddplev	Skillname275	10														0	Skillname281	
220	delerium change	0	0	0	0	2		10910	Delirium	Delirium	Delirium																																																																																																													0	Delirium	
221	interact	0	0	0	0	2		5382	SkillDescInteract	SkillDescInteract	SkillNameInteract																																																																																																													0	SkillNameInteract	
222	loot	0	0	0	0	2		5382	SkillDescLoot	SkillDescLoot	SkillNameLoot																																																																																																													0	SkillNameLoot	
223	townportal	0	0	0	0	18		5005	skillld219	skillld219	skillan219																																																																																																													0	skillname219	
